building,use,year,floor_area_m2,electricity_kWh
Birch,Office,2025,400,64000
Birch,Office,2023,400,80000
Birch,Office,2024,400,72000
Cedar,Laboratory,2025,1200,228000
Cedar,Laboratory,2023,1200,252000
Cedar,Laboratory,2024,1200,240000
Maple,Office,2025,3200,352000
Maple,Office,2023,3200,480000
Maple,Office,2024,3200,416000
Oak,Laboratory,2025,8000,1760000
Oak,Laboratory,2023,8000,1680000
Oak,Laboratory,2024,8000,1720000
Pine,Office,2025,16000,1440000
Pine,Office,2023,16000,1760000
Pine,Office,2024,16000,1600000
Willow,Laboratory,2025,32000,6080000
Willow,Laboratory,2023,32000,7040000
Willow,Laboratory,2024,32000,6400000
